iter	Passed	Remaining
0	258	257746
1	258	129203
2	259	86316
3	260	64870
4	270	53745
5	271	44962
6	272	38656
7	274	34022
8	276	30397
9	277	27428
10	278	24994
11	281	23165
12	283	21487
13	284	20037
14	286	18792
15	287	17654
16	288	16658
17	288	15766
18	290	14989
19	294	14428
20	296	13803
21	297	13229
22	298	12685
23	299	12183
24	300	11719
25	301	11290
26	302	10892
27	303	10524
28	304	10182
29	309	10014
30	311	9729
31	313	9482
32	314	9226
33	316	8984
34	317	8758
35	319	8542
36	325	8471
37	327	8290
38	329	8117
39	331	7944
40	332	7771
41	333	7603
42	335	7471
43	338	7355
44	339	7215
45	341	7079
46	342	6939
47	343	6807
48	344	6679
49	345	6555
50	345	6435
51	346	6319
52	347	6210
53	352	6181
54	354	6084
55	355	5989
56	356	5899
57	358	5820
58	359	5730
59	360	5642
60	361	5557
61	361	5475
62	362	5398
63	368	5382
64	369	5309
65	371	5260
66	372	5189
67	373	5121
68	374	5054
69	375	4988
70	376	4924
71	377	4862
72	378	4802
73	382	4783
74	383	4726
75	384	4670
76	385	4616
77	385	4562
78	386	4510
79	387	4459
80	388	4410
81	389	4360
82	389	4308
83	390	4261
84	391	4215
85	392	4170
86	393	4126
87	395	4099
88	397	4071
89	398	4033
90	399	3995
91	400	3957
92	401	3918
93	402	3880
94	403	3844
95	404	3808
96	405	3772
97	406	3737
98	406	3702
99	407	3669
100	410	3655
101	412	3629
102	413	3601
103	414	3571
104	416	3546
105	417	3522
106	419	3497
107	420	3469
108	420	3441
109	421	3413
110	423	3388
111	426	3384
112	427	3359
113	429	3334
114	430	3309
115	431	3285
116	431	3258
117	432	3233
118	433	3208
119	434	3184
120	435	3160
121	435	3136
122	436	3114
123	438	3094
124	442	3098
125	443	3078
126	444	3055
127	445	3034
128	447	3022
129	448	3002
130	449	2982
131	450	2962
132	451	2942
133	452	2924
134	453	2904
135	454	2888
136	456	2877
137	457	2859
138	459	2844
139	460	2829
140	461	2812
141	462	2796
142	464	2782
143	465	2767
144	466	2753
145	471	2760
146	473	2746
147	474	2732
148	475	2718
149	477	2703
150	478	2689
151	479	2676
152	480	2662
153	482	2649
154	485	2645
155	487	2634
156	488	2621
157	489	2608
158	490	2596
159	492	2583
160	492	2569
161	497	2574
162	499	2562
163	499	2548
164	500	2534
165	503	2528
166	504	2514
167	505	2500
168	505	2486
169	506	2472
170	507	2459
171	508	2445
172	508	2431
